,original_sentence,label
0,Well go to Sofa  take empty_ketchup finally come back .,Move ( Sofa )  Grasp ( empty_ketchup )  Comeback ( )
1,Go to Dining_Sofa next detect camera  take it .,Move ( Dining_Sofa )  Find ( camera )  Grasp ( camera )
2,Move to Living_Table  grasp Bleach  leave the apartment please .,Move ( Living_Table )  Grasp ( Bleach )  Move ( apartment )
3,Go to Sofa  take Cup_Star put it on Living_Table okay .,Move ( Sofa ) Grasp ( Cup_Star )  Move ( Living_Table )  Place ( Cup_Star )
4,Go to Kitchen_Table move to Living_Table take Red_Tea .,Move ( Kitchen_Table )  Move ( Living_Table )  Find ( Red_Tea )  Grasp ( Red_Tea )  Comeback ( )
5,Can you move to Living_Table get toy_car then come back .,Move ( Living_Table )  Grasp ( toy_car )  Comeback ( )
6,Move to Side_Table get ground_pepper place it on Sofa okay .,Move ( Side_Table )  Grasp ( ground_pepper ) Move ( Sofa )  Place ( ground_pepper )
7,Would you go to Kitchen_Table  take sugar  bring it to Side_Table .,Move ( Kitchen_Table )  Grasp ( sugar )  Move ( Side_Table )
8,Can you move to Side_Table get salt then come back .,Move ( Side_Table )  Grasp ( salt )  Comeback ( )
9,Go to Visitor_Room take canned_juice put it on Bar please .,Move ( Visitor_Room )  Find ( canned_juice )  Grasp ( canned_juice )  Move ( Bar )  Place ( canned_juice )
10,Move to Sofa  go to Bar then exit the apartment .,Move ( Sofa )  Move ( Bar )  Move ( apartment )
11,Well get Cup_Noodle from Living_Table go to Dining_Room move to Sofa .,Move ( Living_Table )  Grasp ( Cup_Noodle )  Move ( Dining_Room )  Move ( Sofa )
12,Call a person then ask for an order get Brown_Tea from Reception_Table .,Say ( person )  Listen ( Brown_Tea )  Move ( Reception_Table )  Find ( Brown_Tea )  Grasp ( Brown_Tea )  Move ( Brown_Tea )  Place ( Brown_Tea )
13,Can you bring nursing_bottle from Bar go to Kitchen_Room move to Sofa .,Move ( Bar )  Grasp ( nursing_bottle )  Move ( Kitchen_Room ) Move ( Sofa )
14,Can you bring filled_ketchup from Sofa go to lobby move to Reception_Table .,Move ( Sofa )  Grasp ( filled_ketchup )  Move ( lobby ) Move ( Reception_Table )
15,Would you go to Dining_Table  take spray_bottle  bring it to Living_Sofa .,Move ( Dining_Table )  Grasp ( spray_bottle )  Move ( Living_Sofa )
16,Go to lobby  move to Dining_Table  finally leave the apartment .,Move ( lobby )  Move ( Dining_Table ) Move ( apartment )
17,Would you move to Reception_Table grasp dog_doll and come back .,Move ( Reception_Table )  Grasp ( dog_doll )  Comeback ( )
18,Move to Living_Table  grasp Cup_Noodle  leave the apartment please .,Move ( Living_Table )  Grasp ( Cup_Noodle )  Move ( apartment )
19,Can you go to Side_Table take cigarette carry it to Bar .,Move ( Side_Table  ) Find ( cigarette LCAOTION ) Grasp ( cigarette ) Move ( Side_Table )
20,Can you go to Kitchen_Table take apple carry it to Living_Table .,Move ( Kitchen_Table  ) Find ( apple LCAOTION ) Grasp ( apple ) Move ( Kitchen_Table )
21,Go to Corridor er find a person neayby bring sauce from Dining_Sofa .,Move ( Corridor ) Find ( person Corridor ) Move ( Dining_Sofa ) Grasp ( sauce )
22,Well go to Side_Table  take Korean_Soup finally come back .,Move ( Side_Table ) Grasp ( Korean_Soup ) Move ( HERE )
23,Go to Dining_Sofa find a person neayby  er follow a person .,Move ( Dining_Sofa ) Find ( person Dining_Sofa ) Follow ( person )
24,Would you move to Reception_Table take Orange_Juice then come back .,Move ( Reception_Table ) Find ( Orange_Juice Reception_Table Grasp ( Orange_Juice ) Move ( HERE )
25,Would you move to Side_Table take dog_doll then come back .,Move ( Side_Table ) Find ( dog_doll Side_Table Grasp ( dog_doll ) Move ( HERE )
26,Go to lobby take empty_ketchup put it on Dining_Table please .,Move ( lobby ) Find ( empty_ketchup lobby ) Grasp ( empty_ketchup ) Move ( Dining_Table ) Place ( empty_ketchup Dining_Table )
27,Would you go to Sofa  take Cup_Star  bring it to Side_Table .,Move ( Sofa ) Find ( Cup_Star Sofa ) Grasp ( Cup_Star ) Move ( Side_Table )
28,Go to Living_Sofa get Korean_Soup  exit from Kitchen_Room okay .,Move (  Living_Sofa  ) Find ( Korean_Soup LCAOTION  ) Grasp ( Korean_Soup ) Move ( Kitchen_Room )
29,Go to Bar find a person neayby  er follow a person .,Move ( Bar ) Find ( person Bar ) Follow ( person )
30,Can you go to lobby get canned_juice then come back .,Move (  lobby  ) Find ( canned_juice lobby ) Grasp ( canned_juice ) Move ( HERE )
31,Well move to Living_Table Grasp Brown_Tea then come back .,Move ( Living_Table ) Move ( Brown_Tea ) Move ( HERE )
32,Go to Dining_Table Grasp filled_plastic_bottle  leave the apartment please .,Move ( Dining_Table ) Grasp ( filled_plastic_bottle ) Move ( apartment )
33,Well move to Reception_Table Grasp Japanese_Tea then come back .,Move ( Reception_Table ) Move ( Japanese_Tea ) Move ( HERE )
34,Go to lobby Grasp nursing_bottle throw it into Dustbin please .,Move ( lobby ) Grasp ( nursing_bottle ) Move ( Dustbin ) Place ( nursing_bottle Dustbin
35,Can you go to Visitor_Room get Japanese_Tea then come back .,Move (  Visitor_Room  ) Find ( Japanese_Tea Visitor_Room ) Grasp ( Japanese_Tea ) Move ( HERE )
36,Go to kitchen next find Cup_Noodle take it .,Move (  kitchen  ) Find ( Cup_Noodle kitchen  ) Grasp ( Cup_Noodle )
37,Can you go to Visitor_Room get toy_penguin then come back .,Move (  Visitor_Room  ) Find ( toy_penguin Visitor_Room ) Grasp ( toy_penguin ) Move ( HERE )
38,Well get Bath_Cleaner from Living_Table go to Visitor_Room go to Living_Room .,Move ( Living_Table ) Find ( Bath_Cleaner LCAOTION  ) Grasp ( Bath_Cleaner )  Move ( Visitor_Room ) Move ( Living_Room )
39,Would you go to Dining_Room Grasp pink_cup er come back .,Move ( Dining_Room ) Find ( pink_cup Dining_Room ) Move ( HERE )
40,Go to Dining_Sofa  take Korean_Soup put it on Bar okay .,Move ( Dining_Sofa )  Grasp ( Korean_Soup ) Move ( Bar ) Place ( Korean_Soup Dining_Sofa )
41,Go to lobby take nursing_bottle put it on Bar please .,Move ( lobby ) Find ( nursing_bottle lobby ) Grasp ( nursing_bottle ) Move ( Bar ) Place ( nursing_bottle Bar )
42,Call a person then ask for an order get cubic_clock from Bar .,Say ( person ) Listen ( cubic_clock ) Move ( Bar ) Find ( cubic_clock Bar ) Grasp ( cubic_clock ) Move ( cubic_clock ) Place ( cubic_clock Bar )
43,Go to Corridor get Red_Tea throw it into Dustbin please .,Move ( Corridor ) Find ( Red_Tea Corridor ) Grasp ( Red_Tea ) Move ( Dustbin ) Place ( Red_Tea Dustbin )
44,Go to Kitchen_Room  go to Dining_Sofa er leave the apartment .,Move ( Kitchen_Room ) Move ( Dining_Sofa )  Move ( apartment )
45,Go to Side_Table find a person neayby  er follow a person .,Move ( Side_Table ) Find ( person Side_Table ) Follow ( person )
46,Move to Kitchen_Table  go to Living_Sofa then exit the apartment .,Move ( Kitchen_Table ) Move ( Living_Sofa ) Move ( apartment )
47,Go to Living_Sofa  take filled_ketchup put it on Kitchen_Table okay .,Move ( Living_Sofa )  Grasp ( filled_ketchup ) Move ( Kitchen_Table ) Place ( filled_ketchup Living_Sofa )
48,Can you move to Kitchen_Table get rabbit_doll then come back .,Move ( Kitchen_Table ) Grasp ( rabbit_doll ) Move ( HERE )
49,Well get toy_car from Sofa go to bed_room move to Living_Table .,Move ( Sofa ) Grasp ( toy_car ) Move ( bed_room ) Move ( Living_Table )
50,Go to Side_Table next detect toy_duck  take it .,Move ( Side_Table ) Find ( toy_duck LCAOTION  ) Grasp ( toy_duck )
51,Go to Visitor_Room get toy_penguin throw it into Dustbin please .,Move ( Visitor_Room ) Find ( toy_penguin Visitor_Room ) Grasp ( toy_penguin ) Move ( Dustbin ) Place ( toy_penguin Dustbin )
52,Would you move to Dining_Sofa get hourglass bring it to Side_Table .,Move ( Dining_Sofa ) Find ( hourglass LCAOTION  ) Grasp ( hourglass )ï¼ŒMove ( Dining_Sofa )
53,Would you move to Bar Grasp rubik's_cube and come back .,Move ( Bar ) Grasp ( rubik's_cube ) Move ( HERE )
54,Go to Kitchen_Room Grasp camera throw it into Dustbin please .,Move ( Kitchen_Room ) Grasp ( camera ) Move ( Dustbin ) Place ( camera Dustbin  )
55,Would you go to Sofa take Chip_Star er come back .,Move ( Sofa ) Find ( Chip_Star Sofa ) Grasp ( Chip_Star ) Move ( HERE )
56,Go to Visitor_Room next find apple Grasp it .,Move ( Visitor_Room ) Find ( apple Visitor_Room ) Grasp ( apple )
57,Well go to Kitchen_Table  take dog_doll finally come back .,Move ( Kitchen_Table ) Grasp ( dog_doll ) Move ( HERE )
58,Would you go to Kitchen_Table  take rubik's_cube  bring it to Dining_Table .,Move ( Kitchen_Table ) Find ( rubik's_cube Kitchen_Table ) Grasp ( rubik's_cube ) Move ( Dining_Table )
59,Well move to Living_Sofa get empty_plastic_bottle and come back .,Move ( Living_Sofa ) Grasp ( empty_plastic_bottle ) Move ( Living_Sofa ) Grasp ( empty_plastic_bottle ) Move ( HERE )
60,Go to Kitchen_Table find a person neayby  er follow a person .,Move ( Kitchen_Table ) Find ( person Kitchen_Table ) Follow ( person )
61,Go to Living_Room get Blue_Potato throw it into Dustbin please .,Move ( Living_Room ) Find ( Blue_Potato Living_Room ) Grasp ( Blue_Potato ) Move ( Dustbin ) Place ( Blue_Potato Dustbin )
62,Can you go to kitchen Grasp bear_doll  bring it to Living_Table .,Move ( kitchen ) Find ( bear_doll kitchen ) Grasp ( bear_doll ) Move ( Living_Table )  Find ( bear_doll Living_Table ) Grasp ( bear_doll ) Move ( kitchen )
63,Would you go to lobby Grasp pink_cup finally come back .,Move ( lobby ) Find ( pink_cup lobby Grasp ( pink_cup )  Move ( HERE )
64,Move to Dining_Table  Grasp hourglass  leave the apartment please .,Move ( Dining_Table ) Find ( hourglass LCAOTION  ) Grasp ( hourglass ) Move ( apartment )
65,Would you go to Dining_Sofa get Cloth_Cleaner carry it to Living_Table .,Move (  Dining_Sofa ) Find ( Cloth_Cleaner LCAOTION  ) Grasp ( Cloth_Cleaner )  Move ( Dining_Sofa )
66,Go to Visitor_Room next find toy_car take it .,Move (  Visitor_Room  ) Find ( toy_car Visitor_Room  ) Grasp ( toy_car )
67,Go to Dining_Room  go to Side_Table then exit the apartment .,Move ( Dining_Room ) Move ( Side_Table )  Move ( apartment )
68,Go to Dining_Room go to Living_Table  and exit from Visitor_Room .,Move ( Dining_Room ) Move ( Living_Table ) Move ( Visitor_Room )
69,Go to Dining_Sofa find a person neayby  er follow a person .,Move ( Dining_Sofa ) Find ( person Dining_Sofa ) Follow ( person )
70,Call a person then ask for an order get Cloth_Cleaner from Dining_Table .,Say ( person ) Listen ( Cloth_Cleaner ) Move ( Dining_Table ) Find ( Cloth_Cleaner Dining_Table ) Grasp ( Cloth_Cleaner ) Move ( Cloth_Cleaner ) Place ( Cloth_Cleaner Dining_Table )
71,Go to Bar  take spray_bottle put it on Dining_Sofa okay .,Move ( Bar )  Grasp ( spray_bottle ) Move ( Dining_Sofa ) Place ( spray_bottle Bar )
72,Move to Living_Table  Grasp sauce  leave the apartment please .,Move ( Living_Table ) Find ( sauce LCAOTION  ) Grasp ( sauce ) Move ( apartment )
73,Go to kitchen  move to Kitchen_Table  finally leave the apartment .,Move ( kitchen ) Move ( Kitchen_Table )  Move ( apartment )
74,Go to Dining_Sofa and find a person neayby bring dog_doll from Living_Table .,Move (  Dining_Sofa  ) Find ( dog_doll Dining_Sofa  ) Grasp ( dog_doll ) Find ( PERSON Dining_Sofa ) Plcae ( dog_doll PERSON )
75,Would you go to Sofa get Lemon_Tea carry it to Dining_Table .,Move (  Sofa ) Find ( Lemon_Tea LCAOTION  ) Grasp ( Lemon_Tea )  Move ( Sofa )
76,Go to Kitchen_Room  find a person neayby  finally follow a person .,Move ( Kitchen_Room ) Find ( person Kitchen_Room ) Follow ( person )
77,Go to kitchen  find a person neayby  finally follow a person .,Move ( kitchen ) Find ( person kitchen ) Follow ( person )
78,Go to Dining_Room er find a person neayby bring camera from Dining_Table .,Move ( Dining_Room ) Find ( person Dining_Room ) Move ( Dining_Table ) Grasp ( camera )
79,Go to Visitor_Room Grasp nursing_bottle throw it into Dustbin please .,Move ( Visitor_Room ) Grasp ( nursing_bottle ) Move ( Dustbin ) Place ( nursing_bottle Dustbin  )
80,Go to Living_Room next find Lemon_Tea take it .,Move (  Living_Room  ) Find ( Lemon_Tea Living_Room  ) Grasp ( Lemon_Tea )
81,Go to Dining_Sofa take Red_Potato  leave the apartment please .,Move ( Dining_Sofa ) Grasp ( Red_Potato ) Move ( apartment )
82,Would you go to Bar  take Red_Potato  bring it to Dining_Table .,Move ( Bar ) Find ( Red_Potato Bar ) Grasp ( Red_Potato ) Move ( Dining_Table )
83,Well move to Reception_Table Grasp Japanese_Dressing then come back .,Move ( Reception_Table ) Move ( Japanese_Dressing ) Move ( HERE )
84,Would you go to lobby Grasp toy_penguin finally come back .,Move ( lobby ) Find ( toy_penguin lobby Grasp ( toy_penguin )  Move ( HERE )
85,Go to lobby er find a person neayby bring cubic_clock from Sofa .,Move ( lobby ) Find ( person lobby ) Move ( Sofa ) Grasp ( cubic_clock )
86,Well get Egg_Soup from Sofa go to Visitor_Room move to Dining_Table .,Move ( Sofa ) Grasp ( Egg_Soup ) Move ( Visitor_Room ) Move ( Dining_Table )
87,Move to Dining_Table  go to Sofa then exit the apartment .,Move ( Dining_Table ) Move ( Sofa ) Move ( apartment )
88,Move to Living_Table get salt place it on Bar okay .,Move ( Living_Table ) Find ( salt Living_Table  ) Grasp ( salt )  Move ( Bar ) Place ( salt Living_Table )
89,Go to Visitor_Room next find Strawberry_Juice take it .,Move (  Visitor_Room  ) Find ( Strawberry_Juice Visitor_Room  ) Grasp ( Strawberry_Juice )
90,Go to Corridor take toy_duck put it on Reception_Table please .,Move ( Corridor ) Find ( toy_duck Corridor ) Grasp ( toy_duck ) Move ( Reception_Table ) Place ( toy_duck Reception_Table )
91,Well go to Dining_Sofa  take Cup_Noodle finally come back .,Move ( Dining_Sofa ) Grasp ( Cup_Noodle ) Move ( HERE )
92,Go to kitchen  go to Living_Sofa er leave the apartment .,Move ( kitchen ) Move ( Living_Sofa )  Move ( apartment )
93,Go to lobby get empty_plastic_bottle throw it into Dustbin please .,Move ( lobby ) Find ( empty_plastic_bottle lobby ) Grasp ( empty_plastic_bottle ) Move ( Dustbin ) Place ( empty_plastic_bottle Dustbin )
94,Would you go to lobby Grasp soysauce er come back .,Move ( lobby ) Find ( soysauce lobby ) Move ( HERE )
95,Go to Kitchen_Room get twin_bell_alarm_clock throw it into Dustbin please .,Move ( Kitchen_Room ) Find ( twin_bell_alarm_clock Kitchen_Room ) Grasp ( twin_bell_alarm_clock ) Move ( Dustbin ) Place ( twin_bell_alarm_clock Dustbin )
96,Well go to Kitchen_Table  take Brown_Tea  bring it to Dining_Sofa .,Move (  Kitchen_Table ) Find ( Brown_Tea LCAOTION  ) Grasp ( Brown_Tea )  Move ( Kitchen_Table )
97,Go to lobby  go to Reception_Table er leave the apartment .,Move ( lobby ) Move ( Reception_Table )  Move ( apartment )
98,Would you go to Bar take Red_Potato er come back .,Move ( Bar ) Find ( Red_Potato Bar ) Grasp ( Red_Potato ) Move ( HERE )
99,Would you go to lobby Grasp toy_duck finally come back .,Move ( lobby ) Find ( toy_duck lobby Grasp ( toy_duck )  Move ( HERE )
